,genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count
0,[99],436244,"This Traveltalk series short visits an array of locations associated with England's heritage. Included are Runnymede, Windsor, Ascot, Lincoln, Wells, Salisbury, Glastonbury, and the ancient Stonehenge site.",0.6,1950-01-20,Land of Tradition,7.0,1
1,[35],292698,"Good-natured and devout, a French house painter takes the train to Rome, where he has decided to go on a pilgrimage. There he meets a scatterbrained dresser who has been assigned by a music hall star to bring her the gown she is to wear on stage. The two men get stolen by Cleo, a charming thief. Once in Rome, the painter finds himself penniless and the dresser without the gown...",1.569,1950-02-18,I'm in the Revue,5.2,6
2,"[18, 10752]",466960,"Women Without Names (Italian:Donne senza nome) is 1950 Italian drama film directed by Géza von Radványi and starring Simone Simon, Vivi Gioi and Françoise Rosay.[1] It is set in a displaced persons camp after the Second World War.  It was made at Cinecittà in Rome.",0.738,1950-03-03,Women Without Names,6.3,3
3,[99],306911,Short Documentary about a garden with strange sculptures near Rome.,0.6,1950-04-05,The Villa of Monsters,6.0,1
4,"[35, 80]",142286,"Director Alexander Hall's 1950 comedy, about a crude gangster hopelessly falling for a sweet young city government employee, stars Paul Douglas, Jean Peters, Cesar Romero, Keenan Wynn, Joan Davis, Arthur Treacher, Jay C. Flippen, Barry Kelley, Leon Belasco, Clara Blandick, John Doucette, Arthur O'Connell and Charles Lane.",1.199,1950-06-06,Love That Brute,6.0,1
5,"[80, 18]",259701,"A police chief stationed in Egypt sets out to crack down on drug traffickers along the frontiers. With his assistant, he attempts to block the smugglers' passage along the notorious Cairo Road route into the country.",1.816,1950-06-21,Cairo Road,5.9,4
6,[99],387220,"This Traveltalks short visits cities and towns along the Thames River. It begins in London, with views of Cleopatra's Needle and the Tower Bridge. We then visit the Trout Inn at Oxford, a favorite gathering place for students at the university. After a short look at Eton, it's off to Henley-on-Thames and the world-famous regatta.",0.6,1950-08-26,Life on the Thames,6.0,1
7,[12],43388,Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,4.518,1950-11-09,King Solomon's Mines,6.5,73
8,[],146352,"In Rome, a beautiful young model named Donina is hired by a sculptor, Leonardo, inspired her to do a statue he hopes will be his masterpiece. The striking statue of Prince Florencio, heir to the throne of Preslavia, who presented at the banquet in his villa in Rome. Soon their beauty is all the rage across the country, the girl is the feeling of the moment and decides to leave with her ​​prince, leaving behind all his life, including his daughter, who leaves her under the protection of Leonardo.",0.946,1950-12-29,La noche del sábado,5.0,2
9,[],308068,Loosely based on Shakespeare's Romeo and Juliet,0.6,1951-01-01,Madhosh,4.0,1
10,[99],534496,"Short travelogue film about Egypt. Produced by Castle Films as part of their series, 'The World Parade’.",0.6,1951-01-01,Land of the Pyramids,10.0,1
11,"[14, 10402, 10749]",44334,"In this film adaptation of the Offenbach opera, a young poet named Hoffman broods over his failed romances. First, his affair with the beautiful Olympia is shattered when he realizes that she is really a mechanical woman designed by a scientist. Next, he believes that a striking prostitute loves him, only to find out she was hired to fake her affections by the dastardly Dapertutto. Lastly, a magic spell claims the life of his final lover.",3.381,1951-04-04,The Tales of Hoffmann,6.9,43
12,"[18, 10749, 36]",42567,"King David enters into an adulterous affair with the beautiful Bathsheba, which has tragic consequences for his family and Israel.",5.758,1951-08-10,David and Bathsheba,6.4,35
13,[99],334370,"This TravelTalk short focuses on the ancient ruins in Rome, the leaning tower of Pisa, and the architecture in Florence, Italy.",0.6,1951-08-25,Visiting Italy,5.5,2
14,"[18, 36, 10749]",11620,"Set against the back drop of Rome in crisis, General Marcus Vinicius returns to the city from the battle fields and falls in love with a Christian woman, Lygia. Caught in the grip of insanity, Nero's atrocities become more extreme and he burns Rome, laying the blame on the Christians. Vinicius races to save Lygia from the wrath of Nero as the empire of Rome collapses around them.",18.852,1951-11-08,Quo Vadis,7.1,269
15,[35],45099,"Esposito is a thief who cons tourists in Rome. A lengthy persecution by police Bottoni, who manages to catch it starts. In an oversight Esposito manages to flee again. Bottoni superiors inform him that if no catches him will lose his job.",5.936,1951-11-29,Cops and Robbers,7.5,134
16,[35],618938,"Dada Qatar An Egyptian film, produced in 1951, starring Anwar Wagdy, Shadia and Ismail Yassin, directed and produced by Anwar Wagdy",0.6,1951-12-17,Qattr El-Nada,6.0,1
17,"[35, 18, 10749]",56437,Three gorgeous seamstresses meet on the historic steps of the Piazza de Spagna in Rome to discuss one another's love lives.,2.72,1952-01-01,Three Girls from Rome,6.1,13
18,"[18, 10752]",334611,"The first Macedonian Movie from 1952- Frosina is one of the many Macedonian wives whose husbands are economic emigrants abroad. Marriage does not bring them a family, only the burden of life itself. After her husband's short visits, she gives birth to children who do not live long because of the poverty into which they have been born. She gives birth to them alone, and she buries them alone. Only her last child, Klime, survives all his various illnesses and grows up to be her one joy in life. The war breaks out...",0.84,1952-01-01,Frosina,5.0,3
19,"[14, 28, 12]",54422,"In ancient Persia the son of Ali Baba (of forty thieves fame), Kashma Baba is a military cadet by day and a party goer by night. He falls for a girl who he later finds is an escaped slave girl belonging to the wicked Caliph. They flee to his father's palace. But alas, there's more to her than meets the eye. Will the evil schemers succeed? The sons of the Forty Thieves to the rescue!",1.252,1952-08-15,Son of Ali Baba,5.8,9
20,[18],41464,"A wealthy, self-absorbed Rome socialite is tacked by guilt over the death of her young son. As a way of dealing with her grief and finding meaning in her life, she decides to devote her time and money to the city’s poor and sick. Her newfound, single-minded activism leads to conflicts with her husband and questions about her sanity.",5.654,1952-08-28,Europe '51,7.4,74
21,"[10749, 35, 18]",43361,"In Italy, small-town newlyweds Wanda and Ivan Cavalli embark on their honeymoon in the big city of Rome. Ivan dutifully wants to keep appointments with family and church, but Wanda is only interested in meeting her favorite photo-strip star known as ""The White Sheik"". While Wanda impetuously sneaks away to locate the object of her affections, disconsolate Ivan tries his hardest to keep up appearances with the couple's relatives.",4.689,1952-09-20,The White Sheik,7.3,194
22,"[35, 18]",199898,"When a man confesses to his wife that he has been unfaithful, she imagines all the different ways that historical figures such as Cleopatra and Joan of Arc might handle the situation.",0.989,1952-10-09,My Wife's Best Friend,5.7,3
23,"[18, 10749]",63891,"Gerard, a 25-year-old student, decides to find a treasure Troilus lost in the sea after the Peloponnesian War. His meeting with Manina jeopardises his plans of finding the treasure.",1.272,1952-12-26,"Manina, the Lighthouse-Keeper's Daughter",4.8,12
24,[80],416905,"Sometimes listed as a horror film, the British Girl on the Pier is a Spartan little melodrama starring the alluring Veronica Hurst as the title character. The wife of wax museum curator Campbell Singer, Hurst carries on with Singer's partner Ron Randell. Killing Randell, the cuckolded husband tries to hide the body among his waxworks. The police eventually catch on when Singer proves too clever for his own good. Girl on the Pier doesn't pretend to be a classic; on its own terms, it's an agreeable 65 minutes out of your life.",0.929,1953-01-01,The Girl on the Pier,6.0,1
25,[35],257036,"The Twiggs are a typical working-class family: Sam (Jack Warner) and Mary (Marjorie Rhodes) are trying to bring their family up in the shadow of the Blitz whilst taking everything in good humour. Their neighbours Joe (Charles Victor) and Emma (Gladys Henson) are constantly in the Twiggs house, borrowing a cup of sugar or using their Anderson shelter and between them the two working class families put the world to rights. But when their daughter falls for an upper class RAF pilot the Twiggs are asked by his mother, Lady Diana Stephens to tell their daughter to call the romance off, as the social gap between the families is too large. Incensed by Lady Diana s offer of money, Sam Twigg throws her out of the house. But events take a sudden turn as the war enters the Twiggs own living room. Will the two families manage to overcome their disdain for each other and let true love find its way?",0.6,1953-02-01,Those People Next Door,4.0,2
26,"[80, 18]",260112,"Dramatic rendition of a real life crime wave that terrorized the city of Alexandria, Egypt, between the years 1920 and 1922. Women are disappearing without a trace in what looked like the work of a serial killer. Being Egypt's first ever case of serial killings, the police is relentless and assigns the case to their best inspector. He traces the leads to sisters Raya and Sekina, but it becomes a race against time before they kill again.",1.4,1953-02-23,Raya and Sakina,5.7,3
27,[35],556624,"A satire of the Cold War, Italian style. Soviet flunkey Boris Popovitc is sent on a goodwill mission to Rome, where he is to deliver a symbolic dove of peace to a group of WW II freedom fighters. Somehow, Boris winds up in Venice minus the dove. As he searches up street and down canal for the missing bird, he meets and falls in love with luscious flower-girl Maria.",0.621,1953-02-23,Ho scelto l'amore,7.5,1
28,[18],93863,"By a twist of fate, the photogenic Milanese shop assistant, Clara Manni, gets the leading role in Italian movie producer Gianni Franchi's romantic drama, ""Addio Signora"", and becomes an overnight sensation in Rome. However--as this small role catapults her professional career as a silver-screen diva--more and more, Clara finds herself trapped in a glamorously cruel world of false promises, failed relationships, and disastrous choices. Now, a betrayed, weak, and, above all, insecure Clara has her back to the wall, forced to make a difficult but pivotal decision in her life. Is there a future in the commercial film industry for the beautiful Lady without Camelias?",1.736,1953-02-27,The Lady Without Camelias,6.5,27
29,[35],50694,"The Kettles are in Paris along with their daughter-in-law's parents the Parkers. Pa tries to buy racy postcards. He also gets in big trouble when he is given a letter to deliver to Adolph Wade, a spy who gets killed by spies Inez and Cyrus Kraft.",1.067,1953-04-01,Ma and Pa Kettle on Vacation,7.6,5
30,"[80, 99]",297757,"On the evening of March 11, 1950, Annabella Bracci, a 12-year-old girl, was brutally killed and thrown into a pit on the outskirts of Rome, near the village of Primavalle. A brief and poetic account of the events and their impact on an impoverished community. A handful of wild flowers and a painful catch in the voices.",1.088,1953-04-30,Notes on a True Story,5.5,14
31,[99],37927,"Short documentary ordered by the magazine ""Présence Africaine"". From the question ""Why is the african in the Human museum while Greek or Egyptian art are in Le Louvre?"", the two directors expose and criticise the lack of consideration for African art. The film was censored in France for eight years because of its anti-colonial perspective.",2.369,1953-05-01,Statues Also Die,6.4,30
32,"[36, 12]",114771,"Cleopatra (Rhonda Fleming) toys with Mark Antony (Raymond Burr), who wants to merge his Rome with her Egypt.",1.045,1953-05-08,Serpent of the Nile,7.7,3
33,"[10749, 35, 18]",804,"Overwhelmed by her suffocating schedule, touring European princess Ann takes off for a night while in Rome. When a sedative she took from her doctor kicks in, however, she falls asleep on a park bench and is found by an American reporter, Joe Bradley, who takes her back to his apartment for safety. At work the next morning, Joe finds out Ann's regal identity and bets his editor he can get exclusive interview with her, but romance soon gets in the way.",16.24,1953-08-26,Roman Holiday,7.9,1481
34,"[18, 28, 80]",90770,"A film by Michelangelo Antonioni composed of three episodes: a French episode set in Paris, an Italian episode set in Rome and an English episode set in London. Three stories of well-off youths who commit murders.",1.728,1953-09-04,The Vanquished,6.2,26
35,"[36, 12]",350806,"The Jews are taken from Jerusalem and made slaves by King Nebuchadnezzar. In the meantime Cyrus, king of the Persians, who has been living as a shepherd, is proclaimed king and defeats Nebuchadnezzar.",1.4,1953-10-21,Slaves of Babylon,6.0,1
36,"[18, 10749]",31293,"Five stories of life, love and tears in Rome by five of Italy's best film directors. Each of them take his turn at showing how love is found, lost, and nurtured in the Eternal City.",2.569,1953-11-27,Love in the City,6.7,29
37,"[12, 18]",22734,"Mike and Tony Petrakis are a Greek father and son team who dive for sponges off the coast of Florida. After they are robbed by crooks, Arnold and the Rhys brothers, Mike decides to take his men to the dangerous 12-mile reef to dive for more sponges. Mike suffers a fatal accident when he falls from the reef leaving Tony to carry on the business. But now he has a companion, Gwyneth Rhys.",2.064,1953-12-02,Beneath the 12-Mile Reef,5.9,19
38,"[35, 18]",400574,Six vignettes set in the Villa Borghese gardens in Rome,2.093,1953-12-18,It Happened in the Park,5.4,4
39,"[18, 10749]",885637,"Luisa Galli moves to Rome in search of a respectable job, but instead just finds a job as a waitress for the lawyer Giorgi",0.876,1954-01-09,In amore si pecca in due,4.5,1
40,[10752],114746,"In Greece during the war a small group of British commandoes and patriots land on an island with orders to attack two airfields from which the Luftwaffe is threatening allied forces in Egypt. The island is crawling with troops, and even moving by night the men soon run into trouble.",1.064,1954-02-02,They Who Dare,5.6,10
41,"[18, 80]",199461,"Abdel Sabour was a thief and a smuggler known as The Beast to the people in one of the villages of upper Egypt; everyone was afraid of him, including the police. He enjoyed the protection of Redwan Pasha, who in turn used him during elections to eliminate his rivals. Officer Raouf Saleh was sent to the village with his wife and son with the assignment of arresting The Beast. However The Beast and his gang worked together from the beginning trying to dispose of the officer and his family in any way possible.",0.6,1954-03-05,The Beast,5.3,3
42,[],413481,Mad-science/comedy scenario about reviving the corpse of an Egyptian mummy morphs into a love story set in ancient Egypt.,0.711,1954-03-30,Reventa de esclavas,5.0,4
43,"[18, 10749]",74585,"While on vacation in Rome, married American Mary Forbes becomes entangled in an affair with an Italian man, Giovanni Doria. As she prepares to leave Italy, Giovanni confesses his love for her; he doesn't want her to go. Together they wander the railroad station where Mary is to take the train to Paris, then ultimately reunite with her husband and daughter in Philadelphia. Will she throw away her old life for this passionate new romance?",3.499,1954-05-10,Indiscretion of an American Wife,6.0,36
44,[18],41503,"Three American roommates working in Italy wish for the man of their dreams after throwing coins into Rome's magnificent Trevi Fountain. Frances, a secretary at a government agency, sets out to win the heart of her smooth-talking novelist employer; Anita, her coworker, defies office regulations by romancing an Italian who works at the agency; and office newcomer Maria meets a real Italian Prince Charming and falls madly in love. The only thing the three hopeful ladies need to do is seal their fate.",5.14,1954-05-01,Three Coins in the Fountain,6.1,31
45,[12],290719,An American insurance investigator is sent to Rhodesia to investigate the mysterious death of a diamond broker who drowned whilst diving off the coast. The broker was insured for $1 million so the insurers are suspicious.,1.543,1954-06-30,Duel in the Jungle,6.1,5
46,"[10749, 12, 14]",200386,"Shalimar, an Egyptian princess, striving to rid her country of its Bedouin conquerors, forms an alliance with Prince Haidi, son of the Caliph of Bagdad. She practices her intrigues both at the court and, disguised as a dancing girl, in the market place.",2.832,1954-07-01,Princess of the Nile,7.4,7
47,"[36, 10749]",280957,"Teodora, a Roman courtesan and former slave girl, marries the Roman emperor Justinian and assumes the throne as Empress of Rome. But the divide between nobility and slave is too great. Teodora seeks justice for her people, and revolution and armed conflict erupt in both Byzantium and Rome.",1.451,1954-07-02,"Theodora, Slave Empress",6.0,8
48,[12],118517,"Hard-boiled archeologist Mark Brandon is searching for ancient tombs in Egypt when he is approached by beautiful Ann Mercedes, who convinces him to help her fulfill her deceased father's life's ambition - to provide solid proof of the biblical Joseph's travels in ancient Egypt. As an ex-pupil of Ann's father, Mark accepts and the two embark on a search for the tomb of the Pharoah Ra Hotep, said to have had some connection with Joseph. The trail to the tomb is fraught with intrigue, betrayal, murder, and the possibility that the tomb itself has been emptied of all its artifacts by ancient looters.",1.468,1954-07-21,Valley of the Kings,5.6,9
49,"[36, 18]",24973,"In eighteenth-dynasty Egypt, Sinuhe, a poor orphan, becomes a brilliant physician and with his friend Horemheb is appointed to the service of the new Pharoah. Sinuhe's personal triumphs and tragedies are played against the larger canvas of the turbulent events of the 18th dynasty. As Sinuhe is drawn into court intrigues he learns the answers to the questions he has sought since his birth.",4.113,1954-08-25,The Egyptian,6.1,54
50,[],382830,"The Great White Tiger Platoon was part of the Aizu clan's last ditch efforts to stop the advance of Imperial troops after the fall of the Tokugawa Shogunate. Meant to be a reserve unit as it was made of the young, 16-17 year old sons of Aizu samurai. Their story is one of the great tragedies of the Boshin War (1868-1869) as they were called into action. Getting cut off from the main body of their platoon, a group of 20 from the 2nd squad retreated to Iimori Hill, where they looked down upon fires surrounding Aizu Castle and thinking that the castle has fallen and all is lost, they choose to die as samurai by committing seppuku. A superb rendition of this true story that shows the true honor of the samurai.",0.84,1954-08-25,The Great White Tiger Platoon,6.0,2
51,"[18, 12, 28]",223168,"In this Biblical epic, a brave Chaldean rebel takes on his evil nemesis, a cruel Assyrian king. En route to his fateful meeting, the rebel hides in the humble hut of a luscious peasant girl.",0.919,1954-09-21,The Queen of Babylon,4.0,1
52,"[12, 10749]",108668,"In Ispahan, Persia, Hajji Baba is leaving his father's shop to seek a greater fortune, while the Princess Fawzia is trying to talk her father, the Caliph into giving her in marriage to Nur-El-Din, a rival prince known far and wide as mean and fickle. Her father intends Fawzia for Fawzia to marry a friend and ally, and makes plans to send her to him.",2.261,1954-10-01,The Adventures of Hajji Baba,6.6,9
53,[18],85044,"La romana (Woman of Rome) is a worthwhile early starring vehicle for Gina Lollobrigida. ""La Lollo"" plays a young woman who is strong-armed into a modelling career by her ambitious mother. Before long, she discovers that there's a lot more money to be had if she sells her body rather than merely putting it on display.",1.385,1954-10-27,Woman of Rome,6.8,7
54,"[18, 36, 10752]",205331,"Roman centurion Marcian is captured by Attila the Hun en route to Constantinople, but escapes. On arrival, he finds the eastern Roman emperor Theodosius plotting with Attila to look the other way while the latter marches against Rome. But Marcian gains the favor of Pulcheria, lovely sister of Theodosius, who favors a united Empire.",1.96,1954-11-24,Sign of the Pagan,5.0,3
55,"[18, 35]",257436,An old nanny comes from the countryside to Rome in order to take care of the young children of a disfunctional family.,0.901,1954-11-24,Camilla,6.0,2
56,"[18, 10749, 36]",65212,"A Greek artisan is commissioned to cast the cup of Christ in silver and sculpt around its rim the faces of the disciples and Jesus himself. He travels to Jerusalem and eventually to Rome to complete the task. Meanwhile, a nefarious interloper is trying to convince the crowds that he is the new Messiah by using nothing more than cheap parlor tricks.",2.731,1954-12-20,The Silver Chalice,4.5,21
57,"[18, 10752]",56290,"Attila, the leader of the barbarian Huns and called by the Romans ""The Scourge of God"", sweeps onto the Italian peninsula, defeating all of the armies of Rome, until he and his men reach the gates of the city itself.",1.39,1955-04-01,Attila,5.6,14
58,"[18, 10752]",283868,A group of Macedonian partisans are hiding away in the mountains from Bulgarian fascist authorities that occupy Macedonia.,0.844,1955-01-01,Wolf's Night,5.1,6
59,[18],273849,"The first film by director Tawfik Saleh, Fools’ Alley is considered one of the most important Egyptian films of the ‘50s – a success very much dependent on a story by Naguib Mahfouz. In an archetypal Egyptian neighborhood, Taha works hard to put aside enough money to marry his beloved Khadija, but when the necessary funds suddenly become available there is an unexpected turn of events. The life of the entire neighborhood is turned upside down and the true colors of its inhabitants are revealed.",0.762,1955-01-02,Fools’ Alley,6.0,5
60,[12],113743,"Rome is on the verge of being conquered by Hannibal (Howard Keel). While Rome's ruler, Fabius Maximus (George Sanders), plots a defense against Hannibal's armies, Fabius' fiancée, Amytis (Esther Williams), is curious about the fearless conquerer. Amytis travels to Hannibal's camp just to get a look at him, but she ends up being captured. However, she is instantly smitten by the Carthaginian commander, so she tries to shift his attentions away from Rome -- and to her instead.",1.4,1955-02-18,Jupiter's Darling,4.0,2
61,"[35, 878]",194732,"Barber's jeep crash against crazy scientist's house, where the latter was building a time-machine. The crash triggers the machine, taking them to Gaza kingdom, circa 1153 B.C., where they get involved in many funny situations. Spoof of Cecil B. DeMille's Samson and Delilah",1.065,1955-02-18,Nem Sansão Nem Dalila,6.4,5
62,"[10749, 35, 18]",45213,"Nineteenth-century Paris comes vibrantly alive in Jean Renoir’s exhilarating tale of the opening of the world-renowned Moulin Rouge. Jean Gabin plays the wily impresario Danglard, who makes the cancan all the rage while juggling the love of two beautiful women—an Egyptian belly-dancer and a naive working girl turned cancan star.",3.51,1955-04-27,French Cancan,7.2,56
