,genre_ids,id,overview,popularity,release_date,title,vote_average,vote_count
63,[35],326993,Airy comedy of a man a woman and the lengths they'll go to for a really great apartment! Located in the center of Rome with amazing views both want it and strike the compromise of marrying each other platonically to get it. The woman still hopes for true love and the man agrees to step aside should that special someone come along but he is secretly smitten with her and surreptitiously makes her various suitors look like fools. All goes well until he comes up against Rosanno Brazzi and finds him a tough challenge to overcome.,1.051,1955-05-24,It Happens in Roma,6.3,3
64,"[35, 27, 14, 12]",26661,"When the murder of an archaeologist puts a valuable medallion into their hands, Abbott and Costello waste little time in trying to sell it, only to find themselves pursued by police, a slinky adventuress, an Egyptian high priest, and the mummy himself.",5.197,1955-06-23,Abbott and Costello Meet the Mummy,6.4,70
65,"[18, 36]",42564,"In ancient Egypt the Pharaoh Khufu is obsessed with acquiring gold and plans to take it all with him into the ""second life."" To this end he enlists the aid of Vashtar, an architect whose people are enslaved in Egypt. The deal: build a robbery-proof tomb and the enslaved people will be freed. During the years that the pyramid is being built a Cyprian princess becomes the pharaoh's second wife, and she plots to prevent Khufu from taking his treasure with him when he dies .. as well as helping him make the journey early.",4.764,1955-07-24,Land of the Pharaohs,6.1,47
66,[],59028,"Rome, 1527. Massimo Colonna is in love with Angela, a member of the Orsinis, the Colonnas'arch enemies. As she is officially engaged to Tancredi Serra, the latter, a faithless individual, has Massimo accused of the murder of Prince Orsini whereas he himself has woven it. Massimo is rejected by an outraged Angela and banned from Rome.Meanwhile the Eternal City has to face a brutal attack by armed invaders from Spain. The Spaniards are about to storm Rome when Massimo and his troops appear. The invading forces are defeated and Massimo is acclaimed by the crowd. After clearing his name, he can marry Angela.",0.6,1955-08-12,The Barbarians,6.0,1
67,"[35, 36]",11579,"Peppone, hardened mayor in Brescello, the small village on the Po river, aspires to become senator. Neither before or after WWII, where he fought against the Germans and fascists, he never went seriously to school, so he needs (at least) a diploma. Believe it or not, don Camillo helps Peppone to pass the examination (with the forecast of moving to Rome) prompting him the solution of geometry's problem. As implicit reward, Peppone writes a composition about ""A man I'll never forget"": obviously don Camillo, when Peppone was a resistant in WWII, and don Camillo the young military chaplain. Getting the diploma was the first step. The election campaign just started and the two big parties - Christian-democratic and Communist, forgetful of respective favors, settle down an electoral ""war of the words"", mean tricks (culminating with the famous horny Peppone/Lucifer) and easy propaganda.",5.876,1955-09-29,Don Camillo's Last Round,7.2,129
68,[35],298509,Comedic retelling of the events around the biblical character: Samson.,0.821,1955-10-06,Lo que le pasó a Sansón,6.9,7
69,[18],221,"After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin.",11.911,1955-10-29,Rebel Without a Cause,7.6,1167
70,[35],176294,"Alvaro is been in jail and so he consider himself the most fit to lead his three friends Mario, Otello and Spartaco. The four young men decide to start a business. They need only a van to start a transport company. But they lack the money. How can they get it?",1.995,1955-11-30,Roman Tales,6.3,8
71,[99],358491,"Twenty-four hours in the story of the British Railways Channel ferryboats, the 'link spans' directly joining the roads and railways of Britain with those of France and all the Continent. The Lord Warden laden with an assortment of road vehicles from Dover, and the Night Ferry from Newhaven carrying passengers bound for Paris, Vienna or Rome are two of the ferries illustrated in this film; and freight is not forgotten.",0.6,1956-01-02,Link Span,8.5,2
72,[35],107032,"Achilles, a Hulot-like factotum for an evening newspaper, travels around looking for a scoop in the Milan of the ""economic miracle.""",0.6,1956-03-20,The Screwball,6.3,3
73,"[28, 12, 18, 36, 10752]",42668,"He was a fierce military commander who led huge armies into battle without a single defeat; a magnificent warrior who many believed was part god - this was Alexander the Great (Richard Burton), the legendary Greek hero hailed by his countrymen as ""The King of Kings"". Born in 356 B.C. into a turbulent world of political unrest, educated by Aristotle (Barry Jones) and chosen to lead his people in the grand tradition of his powerful father (Fredric March), this glamorous world conqueror rose above all conflict to unite the continents of Europe and Asia to become one of the most celebrated rulers of all time! Written, produced and directed by Oscar - winner Robert Rossen and featuring the extraordinary Claire Bloom and a remarkable cast of thousands, this stunning portrait of one of history's most fascinating figures is colossal entertainment and an amazing spectacle.",5.422,1956-03-28,Alexander the Great,5.8,57
74,"[99, 12]",60234,"The Silent World is noted as one of the first films to use underwater cinematography to show the ocean depths in color. Its title derives from Cousteau's 1953 book The Silent World: A Story of Undersea Discovery and Adventure. The film was shot aboard the ship Calypso. A team of divers shot 25 kilometers of film over two years in the Mediterranean Sea, the Persian Gulf, the Red Sea and the Indian Ocean, of which 2.5 kilometers were included in the finished documentary.",2.465,1956-08-15,The Silent World,6.2,29
75,"[18, 36]",6844,"Escaping death, a Hebrew infant is raised in a royal household to become a prince. Upon discovery of his true heritage, Moses embarks on a personal quest to reclaim his destiny as the leader and liberator of the Hebrew people.",43.874,1956-10-05,The Ten Commandments,7.7,1043
76,"[12, 36, 10749]",263063,"The 17th century rebellion in Kakheti masterminded by Bidzina Cholokashvili gets about the whole Georgia. An Imeretian youth nicknamed as Bashi-Achuk is a real exterminator of the Persians. He attacks the Persian escort and sets free the Georgian women who were supposed to be locked up in the Shah’s harem. Bashi-Achuk’s twin sisters are among the rescued captives. Abdushahil, a Persian warrior who was defeated by Bashi-Achuk in wrestling, falls in love with Mzisa, Bashi-achuk’s sister. Mzisa brings Abdushahil to the camp of the Georgian rebels. Abdushahil learns that he is a Georgian too. As a child he was kidnapped and brought up in Persia. Abdushahil’s army gives up and the Georgians win the battle.",1.371,1956-12-02,Bashi-Achuki,6.0,1
77,"[36, 28]",61010,"Sold as slaves to a wealthy Roman, Lea and Esther, two Carthaginian sisters, are offered as gifts to the ambitious daughter of a proconsul and end up involved in spite of themselves in a dangerous game of power.",1.016,1956-12-13,The Sword and the Cross,5.0,4
78,[35],61829,"Salvatore and Romolo are two young and poor young men that are neighbours and friends. They live with their parents in Piazza Navona, Rome. They are poor but handsome, and both fall in love with Giovanna.",3.27,1957-01-01,Poor But Beautiful,6.9,53
79,[99],320284,"Rendez-Vous a Melbourne is the official filmed record of the 1956 Olympic Games in Australia. At the time of its release, there was much controversy in the documentary-filmmaking world over the fact that the Aussies signed over exclusive distribution rights to a French firm, resulting in a boycott from other movie companies. None of this matters when the film is seen today: though not in the same league as Leni Reifenstahl's Olympiad, this 110-minute extravaganza is consistently entertaining. Fifteen cameras were utilized to lens every aspect of the event; it was then up to editors Jean Dudrumet and Monique Lacombe to burrow through miles and miles of film to cull the highlights seen herein. Portions of Rendez-Vous a Melbourne have since resurfaced in practically every Olympics documentary -- not to mention the many TV specials attending the now-biannual event.",0.6,1957-01-21,The Melbourne Rendezvous,5.0,5
80,[27],98116,Archaeologists in Egypt find one of their crew has been turned into a blood sucking mummy after they have unleashed a three thousand year curse.,1.924,1957-02-01,Pharaoh's Curse,4.3,9
81,[878],15096,"When the first manned flight to Venus returns to Earth, the rocket crash-lands in the Mediterranean near a small Italian fishing village. The locals manage to save one of the astronauts Colonel Calder, the mission commander. A young boy also recovers what turns out to be a specimen of an alien creature. Growing at a fantastic rate, it manages to escape and eventually threatens the city of Rome.",6.725,1957-02-08,20 Million Miles to Earth,6.3,94
82,"[80, 18]",45235,"Spurred on by the death of his drug-addicted sister at the hands of ruthless narcotics kingpin Frank McNally, U.S. drug enforcement agent Charles Sturgis embarks on an investigation that takes him from New York to London, Lisbon, Rome, Naples and finally Athens in pursuit of McNally's shapely associate, Gina Broger.",2.278,1957-04-02,Interpol,6.6,8
83,"[35, 10749]",204686,"In this musical-comedy, Dean Martin plays an American hotel mogul who becomes smitten with a young Italian woman (Anna Maria Alberghetti) when buying a hotel in Rome. To marry this gal, he has to get her three older sisters married off.",1.021,1957-04-03,Ten Thousand Bedrooms,6.0,3
84,[18],21849,The rise of a raucous hayseed named Lonesome Rhodes from itinerant Ozark guitar picker to local media rabble-rouser to TV superstar and political king-maker. Marcia Jeffries is the innocent Sarah Lawrence girl who discovers the great man in a back-country jail and is the first to fall under his spell.,6.086,1957-05-29,A Face in the Crowd,7.7,153
85,"[12, 10749]",210944,"Omar Khayyam was one of the greatest Persian poets. He was also a brilliant mathematician. Though his quatrains were written in the 11th century, they are still popular the world over. The details of his life are unknown, so this movie invents a biography for him and includes in it his real achievements - the invention of a new calendar and the penning of those epigrammatic poems. This film has him romancing a sultan's bride and foiling the assassin sect's plot to kill the sultan's son.",1.648,1957-08-23,Omar Khayyam,5.0,4
86,[18],19426,"Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.",9.618,1957-10-03,Nights of Cabiria,8.1,506
87,"[18, 10749]",76987,"Mario Lanza movie (also known as Arrivederci Roma) made in 1958. After having a fight with his girl friend, Marc (Lanza) follows her to Rome to try and win her back. On the train he meets a girl who is on her way to stay with her uncle. He gives her a lift to her uncle's, but they discover he has gone to South America. So as she has nowhere else to go, she stays with Marc and his cousin, which inevitably leads to romance.",1.239,1957-11-21,Seven Hills of Rome,6.4,4
88,"[28, 12, 18]",283971,"The Mighty Crusaders (Italian: La Gerusalemme liberata) is a 1957 film about the First Crusade, based on the 16th-century Italian poem Jerusalem Delivered by Torquato Tasso. This film was directed by Carlo Ludovico Bragaglia.",1.4,1957-12-23,The Mighty Crusaders,5.0,1
89,"[28, 18, 10749]",307836,"In ancient Rome, a mourning Jewish man raises the kidnapped daughter of Roman royalty as his own - and she grows up without learning her true identity. Years later, she falls in love with a Roman prince.",0.913,1958-01-01,Yahudi,5.5,2
90,"[12, 18, 36]",334615,"Macedonia on the turn of the century is enslaved by decaying Ottoman Empire. Freedom fighters, in order to raise money for their cause, kidnap American lady who works in Protestant mission.",1.195,1958-01-01,Miss Stone,5.3,3
91,[18],327811,"Part of a trilogy by Salah Abu Seif about women’s empowerment. The film takes place in late 1940s / early 1950s urban Egypt, and tells the story of a young woman’s search for personal freedom and a fulfilling identity as a young modern Egyptian.",0.6,1958-01-02,I Am Free,6.3,6
92,"[10752, 18]",111450,"German Paratroopers are ordered to hold the line at Monte Cassino in Italy, and halt the allied advance on Rome.",1.131,1958-04-23,The Green Devils of Monte Cassino,4.5,1
93,[18],202756,"Italian director Giueseppe DeSantis was the creative force behind this Yugoslavian ""slice of life"" drama. The title translates as The Year-Long Road; accordingly, the plot concerns a joint, voluntary effort between Italy and Yugoslavia to construct a highway along the countries' Naturally, this animosity wreaks havoc on the various Romeo-Juliet romances in the region. All is resolved when oil is discovered on one of the islands. An American oil company is finally able to establish détente between the warring factions, smoothing the path for the long-delayed marriages of three young couples.",1.313,1958-07-11,The Year Long Road,6.0,4
94,"[18, 36]",228869,"The movie presents a moment in the ancient Rome history when Nero was the emperor and christians persecuted.  Story revolves around Antigonus's plan, archon of Corinth, to build a magnificent temple dedicated to the goddess Aphrodite, for which the people are oppressed by new and very high taxes.  The sculptor Demetrius, asked to make the face of the goddess Diana, falls in love with a slave, the Christian Lerna, and wants to marry her, but another jealous slave has other plans. In the meantime there are plots and intrigues for power and a plan to capture and execute all christians; but things turn out different than expected.",1.697,1958-08-29,"Aphrodite, Goddess of Love",7.0,1
95,"[18, 10749, 28, 10752, 12, 36]",149106,"In Arabic, “mameluke” means a white slave, a prisoner. In Egypt, this name was given to prisoners of war who had been sold into slavery from Georgia and other countries of the Caucasus. The action of this drama starts in Georgia in the late 18th century. Two friends are abducted and sold into slavery. One ends up in Egypt, the other - in Venice. Years later, they meet by the ancient pyramids, in the desert where a battle is going on between the armies of Bonaparte and Ali-bey, the ruler of Egypt. In a combat with a French officer, the Mameluke injures him. Falling from his horse onto the sand, the officer exclaims in Georgian: “Vai, nana!” (“Oh, mother!”). And the Mameluke recognizes in him a mate of his childhood games.",1.597,1958-09-14,Mameluke,7.3,6
96,[35],64041,"Duclos's son, a worldly gangster, is compromised in a case of which he is innocent. The proof of this innocence is in the hands of a ""competitor"", the Marquis de Chemantel de Beauvoiron, a misguided aristocrat. He asked for $ 10 million to cede the document. Duclos will then imagine Chemantel contracting $ 10 million in life insurance for his son. As he discovered in Rome a tramp, a look-alike of the marquis, he will bring this man to Paris and arrange for him to die accidentally.",3.023,1958-10-23,Toto in Paris,6.3,19
97,[35],169996,"The sequel to 'Up The Creek' sees David Tomlinson return as bumbling navy boffin Lieutenant Humphrey Fairweather. This time he is skipper of the ship Aristotle and, together with his second-in-command (Frankie Howerd), Fairweather wreaks havoc when he is ordered to deliver the Aristotle to its new owners in a mythical Middle-Eastern country.",0.763,1958-10-28,Further Up the Creek,8.0,2
98,"[18, 36, 10752]",284542,"Jamila, an Algerian girl who loves her homeland, joins the nationalist movement to liberate her country from French occupation. Based on the life of Djamila Bouhired, who was arrested and tortured by the French Algerian government, Chahine's first explicitly political film managed to galvanize wide solidarity with the Algerian resistance from across the Arab World, starting in Egypt.",1.4,1958-12-09,"Jamila, the Algerian",5.3,4
99,[35],63270,"When the swindler La Spada and his accomplice José come out of jail in Madrid, they decide to pull a really great swindle: nothing less than to discover and sell a third picture of the famous Goya's Maya. They engage the renowed Scorcelletti who can imitate any picture and who lives in Rome. Afterwards, with the help of the beautiful Eva, they convince the celebrated art critic Francisco Montiel of the existance of a third Maya and let him find the picture. When the swindlers are on the point of selling the faked maya to an American millionaire, Scorcelli comes back from Rome to sell one of his six other maya pictures.",3.909,1959-01-01,Toto in Madrid,6.5,22
100,[],327555,"Esmat Kazem runs a smuggling operation between Egypt and Lebanon, using his cabaret in Cairo as a front. Ibrahim, the smuggling ring's operative in Beirut, is murdered over a dispute with Esmat. The police relay the news of the murder to Ibrahim's sister Lamia, a former singer at Esmat's cabaret and an old flame of Esmat's. When she learns of her brother's death, she decides to avenge her brother's murder by co-operating with the police and bringing down Esmat's smuggling ring.",0.651,1959-01-02,The Second Man,5.0,2
101,[80],183630,"Interpol detective Caesar Smith tracks robbers of the Royal Mint van. He travels to Rio de Janeiro, Rome and Paris and establishes the guilt of a London coffee importer.",0.627,1959-01-16,The Great Van Robbery,6.0,1
102,"[12, 18, 10749]",91613,"Zenobia, Queen of Palmira, revolts against Rome and defeats the Roman troops, but she makes a big mistake when she falls in love with enemy officer Marco Valerio.",1.679,1959-03-05,Sign of the Gladiator,4.5,6
103,[12],135504,A sequel to the MGM 1950 King Solomon's Mines.,1.344,1959-03-25,Watusi,6.1,4
104,"[18, 10749]",269218,A love story similar to Shakespeare's Romeo and Juliet taking place in the Egyptian Countryside.,0.711,1959-04-01,Hassan and Nayima,6.5,4
105,"[28, 35, 878]",306584,"In his quest for fame and success, Ismail, a driver for a newspaper company, tries to take some unauthorized photographs of the inside of a German rocket undergoing a technical test. He accidentally launches the rocket into space, taking with him Dr Sharvin, the German scientist who built the rocket, and Ahmad Rushdi, an Egyptian meteorologist. When their rocket somehow manages to land upon the moon, the three hapless space travelers meet Dr Cosmo and learn of the intelligent life that once inhabited the moon but which was all but annihilated by a nuclear war. After Rushdi falls in love with one of the moon girls, they all decide to return to earth but lack enough fuel for the trip and so have to venture to the foreboding far side of the moon to obtain some 'atomic petrol.' Will the crew ever return to the earth?",0.651,1959-04-27,Journey to the Moon,4.3,2
106,[],73744,Various short stories.  Giovanna arrives from Rome with her husband Alberto for a film audition. The journalist Gino comes to interview the great industrial Signore Carsoli. The famous American actress Rita is in search of her umpteenth husband. Leopoldo and Angelina from Sicily are on vacation in Rome where they meet the street smart Nicola.,1.4,1959-05-05,Wild Cats on the Beach,6.3,3
107,[],503564,"Father Barrera, a newly ordained priest, returns from Rome to join the national forces as a military chaplain. The horrors of war produce in him a commotion so great that panic dominates him and he is not able to overcome it. After spending some time on the front line, they send him to the rear. There, his superior, Captain Estrada, meets Cristina, a young nurse.",0.6,1959-05-25,El frente infinito,4.7,3
108,[27],18990,"One by one the archaeologists who discover the 4,000-year-old tomb of Princess Ananka are brutally murdered. Kharis, high priest in Egypt 40 centuries ago, has been brought to life by the power of the ancient gods and his sole purpose is to destroy those responsible for the desecration of the sacred tomb. But Isobel, wife of one of the explorers, resembles the beautiful princess, forcing the speechless and tormented monster to defy commands and abduct Isobel to an unknown fate.",9.247,1959-08-01,The Mummy,6.9,158
109,[99],362371,"A tour of the nightlife in Rome, Paris, London, Madrid, Vienna, Brussels and more. Episodes presenting famous artists and people performing.",0.6,1959-10-03,European Nights,5.0,1
110,"[18, 10749]",193388,"This compelling tale of love and betrayal, set in the upper Egyptian countryside, follows the story of Amna ""Faten Hamama"" as she plots her revenge on the engineer who destroyed her family's honor.",1.732,1959-10-07,The Nightingale's Prayer,7.5,17
111,[12],68196,"In the ruins of Nim Bis Rub, in Babylon, is a band of smugglers den. There goes Nemsi Kara Ben and his faithful friend. One night, while camping, they surprise three smugglers and, after a hard-fought struggle, manage to reduce them and take possession of the rings that are their trademark. Then they go to Baghdad and there, a character who wears a ring of smugglers, which has seen Kara's, confuses him with one of the band.",0.887,1959-10-19,The lion from Babylon,6.0,1
112,"[28, 18, 36]",665,"In 25 AD,Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.  Three years later and freed by a grateful Roman galley commander whom he has rescued from drowning, he becomes an expert charioteer for Rome, all the while plotting to return to Judea, find and rescue his family, and avenge himself on his former friend.  All the while, the form and work of Jesus move in the background of his life...",30.483,1959-11-18,Ben-Hur,7.8,1947
113,"[36, 18, 12]",168479,"Octavio secretly sent his consul Curridio to Alexandria in a final attempt to reach peace. In the city, he meets Berenice, a mysterious and beautiful dancer who falls in love. Actually, the dancer is the queen Cleopatra who leads a double life using this name.",2.323,1959-11-27,Legions of the Nile,5.0,4
114,"[36, 12, 18, 10752]",18696,A Greek soldier leads the fight against an invading Persian army.,3.218,1959-12-03,The Giant of Marathon,5.4,18
115,"[36, 12, 18]",169818,A Carthaginian general attempts to cross the Alps with an army of elephants in order to conquer Rome.,2.571,1959-12-21,Hannibal,5.5,14
116,"[36, 10749]",29996,"Under the rule of King David, Israel is united and prosperous although surrounded by enemies including Egypt and its allies. The aging King David favors his younger son, Solomon, as his successor, but David's  elder son Prince Adonijah, a warrior, declares himself King. When David learns of this, he publicly announces Solomon to be his successor. Adonijah and Joab, his general, withdraw in rage. Israel prospers under King Solomon's wise and benevolent rule and is seen as a threat to more tyrannical monarchs in the region. The Pharaoh of Egypt agrees to cede a Red Sea port to the Queen of Sheba in a plot to undermine Solomon's rule. Sheba is to seduce Solomon and introduce Sheban pagan worship into Jerusalem. Meanwhile, Prince Adonijah, now banished, also conspires with Pharaoh and is given an army to defeat Solomon. The film is a highly fictionalized dramatization of events depicted in The Bible -- First Kings chapter 10 and Second Chronicles chapter 9.",19.198,1959-12-25,Solomon and Sheba,6.5,52
